category,file,rows,n_unique_patient_id,columns,missing_pct
lab_tests,BILIRUBIN DIR 11.csv,308263,124120.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,BUN 11.csv,175915,56854.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,CK MB 11.csv,18489,12139.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,CPK 11.csv,361181,102067.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,CRT 11.csv,59656,7736.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,CRT 22.csv,1000000,184644.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,CRT 33.csv,136636,43412.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,D DIMER 11.csv,24373,13354.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,FBS 11.csv,39815,7251.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,FBS 22.csv,870055,209755.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
